session	sujet	numero	xc_real	xc	trial	stimuli	keyword	accuracy	rt_trial	conf	rt_conf	accuracy_pred	pred	rt_pred	lottery1	lottery2	gain	elicit	gain_pred	elicit_pred	payment_conf	payment_pred	payment_final
1	1	1	5	5	1	0	1	1	1.42518050179133	0.8	2.40186945043752	NaN	NaN	NaN	83	72	3	1	NaN	NaN	112	28	26
1	1	1	5	5	2	0	1	1	1.29954946678408	1	1.20863514326265	NaN	NaN	NaN	84	50	1	1	NaN	NaN	112	28	26
1	1	1	5	5	3	1	2	1	1.39934220807772	0.8	1.16044786679413	NaN	NaN	NaN	99	0	3	1	NaN	NaN	112	28	26
1	1	1	5	5	4	0	1	1	1.36884335977738	1	1.18769397826327	NaN	NaN	NaN	56	66	1	1	NaN	NaN	112	28	26
1	1	1	5	5	5	0	1	1	1.7423788982589	0.6	2.49009571271017	1	0.9	0.781448819998332	72	60	3	1	1	1	112	28	26
1	1	1	5	5	6	0	1	1	1.17145820554215	0.7	1.04597678911159	NaN	NaN	NaN	41	17	1	1	NaN	NaN	112	28	26
1	1	1	5	5	7	0	2	0	2.37644086248038	0.5	0.866998962232174	NaN	NaN	NaN	97	87	3	1	NaN	NaN	112	28	26
1	1	1	5	5	8	1	1	0	1.50927168696508	0.6	1.16208925081446	NaN	NaN	NaN	99	65	3	1	NaN	NaN	112	28	26
1	1	1	5	5	9	1	2	1	2.17246772236395	0.6	1.24682307112744	NaN	NaN	NaN	90	39	3	1	NaN	NaN	112	28	26
1	1	1	5	5	10	1	1	0	1.64766879409508	0.6	1.1267367411383	0	0.7	0.588488245597546	82	56	3	1	3	1	112	28	26
1	1	1	5	5	11	1	2	1	2.04114072236844	0.6	0.872839693445712	NaN	NaN	NaN	81	9	3	1	NaN	NaN	112	28	26
1	1	1	5	5	12	1	1	0	1.39759484583847	0.8	1.88671104781679	NaN	NaN	NaN	46	13	2	0	NaN	NaN	112	28	26
1	1	1	5	5	13	1	2	1	1.65200651744744	0.9	0.611144279719156	NaN	NaN	NaN	84	23	1	1	NaN	NaN	112	28	26
1	1	1	5	5	14	1	1	0	1.31934886422387	0.8	0.620147505185742	NaN	NaN	NaN	63	41	2	0	NaN	NaN	112	28	26
1	1	1	5	5	15	1	2	1	2.35042962820371	0.5	0.665425807957945	1	0.8	0.721710739635455	40	76	1	1	1	1	112	28	26
1	1	1	5	5	16	1	2	1	1.65118141925923	0.6	1.46639590943596	NaN	NaN	NaN	41	53	1	1	NaN	NaN	112	28	26
1	1	1	5	5	17	1	1	0	2.15952431552723	0.6	1.17855989010059	NaN	NaN	NaN	79	97	4	0	NaN	NaN	112	28	26
1	1	1	5	5	18	0	1	1	1.32615344766527	0.9	0.602586709999741	NaN	NaN	NaN	51	49	1	1	NaN	NaN	112	28	26
1	1	1	5	5	19	1	2	1	2.06884860310238	1	0.939315199946577	NaN	NaN	NaN	66	19	1	1	NaN	NaN	112	28	26
1	1	1	5	5	20	0	1	1	1.350153170267	1	1.00934695179967	1	0.9	0.579002718077391	42	26	1	1	1	1	112	28	26
1	1	1	5	5	21	1	1	0	1.24381714350529	0.6	0.819740236212965	NaN	NaN	NaN	41	69	2	0	NaN	NaN	112	28	26
1	1	1	5	5	22	0	1	1	1.14762788986191	1	2.45499267583364	NaN	NaN	NaN	52	50	1	1	NaN	NaN	112	28	26
1	1	1	5	5	23	1	2	1	1.37127993461327	0.7	1.25368356131366	NaN	NaN	NaN	55	11	1	1	NaN	NaN	112	28	26
1	1	1	5	5	24	0	1	1	1.38716393856448	0.6	0.941292498213443	NaN	NaN	NaN	65	90	4	0	NaN	NaN	112	28	26
1	1	1	5	5	25	1	2	1	2.02027235710848	0.6	1.29272940210649	1	0.7	1.55704521558437	60	9	3	1	1	1	112	28	26
1	1	1	5	5	26	1	1	0	1.75597844996737	0.6	1.3991735364034	NaN	NaN	NaN	84	49	3	1	NaN	NaN	112	28	26
1	1	1	5	5	27	1	2	1	2.17711164294742	0.9	0.891607176268735	NaN	NaN	NaN	78	95	1	1	NaN	NaN	112	28	26
1	1	1	5	5	28	0	1	1	1.28489197243034	0.8	1.17093791689331	NaN	NaN	NaN	71	92	1	1	NaN	NaN	112	28	26
1	1	1	5	5	29	0	1	1	1.2578309405355	1	0.937184091340896	NaN	NaN	NaN	89	5	1	1	NaN	NaN	112	28	26
